,nodeId,version,timestamp,userId,amenityType,name,disused,numEdits,mod_numEdits
11757,3751142282,3,2020-04-01 05:14:31+00:00,2055614,motorcycle_parking,,,1684,1684
11755,7353477012,1,2020-04-01 07:09:41+00:00,2055614,post_office,Post Office,,1684,1684
11756,4437309895,2,2020-04-01 07:09:41+00:00,2055614,restaurant,,,1684,1684
20861,5382875196,2,2020-04-01 08:01:47+00:00,10433168,bank,Lloyds Bank,,13,13
20860,5383017087,2,2020-04-01 08:01:47+00:00,10433168,cafe,Starbucks,,13,13
20859,5382875206,2,2020-04-01 08:01:47+00:00,10433168,bank,The Co-operative Bank,,13,13
20858,5382875534,2,2020-04-01 08:01:47+00:00,10433168,cafe,Cafe Fino,,13,13
20857,5383017333,2,2020-04-01 08:01:47+00:00,10433168,pharmacy,Boots,,13,13
20856,5383017342,2,2020-04-01 08:01:47+00:00,10433168,bank,TSB,,13,13
20854,7353571922,1,2020-04-01 08:02:58+00:00,10433168,veterinary,,,13,13
20855,60093169,3,2020-04-01 09:09:12+00:00,10433168,fuel,Esso,,13,13
20853,7353743776,1,2020-04-01 09:09:12+00:00,10433168,courthouse,,,13,13
20852,31098617,3,2020-04-01 09:09:12+00:00,10433168,place_of_worship,Romford Baptist Church,,13,13
20849,7353743784,1,2020-04-01 09:09:12+00:00,10433168,courthouse,,,13,13
20851,7353754522,1,2020-04-01 09:10:30+00:00,10433168,library,,,13,13
20850,7353794246,1,2020-04-01 09:26:52+00:00,10433168,atm,,,13,13
781,2478729071,2,2020-04-01 10:18:53+00:00,13445,waste_basket,,,222,222
782,630496941,3,2020-04-01 10:18:53+00:00,13445,telephone,,,222,222
783,2647994421,2,2020-04-01 10:18:53+00:00,13445,waste_basket,,,222,222
784,7353895668,1,2020-04-01 10:18:53+00:00,13445,atm,,,222,222
780,5149757021,2,2020-04-01 10:18:53+00:00,13445,community_centre,Mazenod Social Club & Community Centre,,222,222
779,2647994422,2,2020-04-01 10:18:53+00:00,13445,bench,,,222,222
778,7353895667,1,2020-04-01 10:18:53+00:00,13445,bicycle_parking,,,222,222
777,415309221,5,2020-04-01 10:18:53+00:00,13445,post_box,,,222,222
4080,6693956869,2,2020-04-01 10:32:37+00:00,269736,bicycle_parking,,,432,432
6249,2925307397,2,2020-04-01 13:42:29+00:00,338535,fast_food,New Golden Dragon,,118,118
11754,3751142281,3,2020-04-01 17:38:57+00:00,2055614,motorcycle_parking,,,1684,1684
11750,7357722505,1,2020-04-02 05:02:59+00:00,2055614,clinic,National Migraine Centre,,1684,1684
11751,395015556,2,2020-04-02 05:02:59+00:00,2055614,telephone,,,1684,1684
11753,395015555,2,2020-04-02 05:02:59+00:00,2055614,post_box,,,1684,1684
11752,395015558,2,2020-04-02 05:02:59+00:00,2055614,clinic,Walmer Road Clinic,,1684,1684
10484,7358126105,1,2020-04-02 08:44:57+00:00,1878856,bicycle_parking,,,128,128
10483,7358136920,1,2020-04-02 08:44:58+00:00,1878856,bicycle_parking,,,128,128
10482,7358148027,1,2020-04-02 08:44:58+00:00,1878856,bicycle_parking,,,128,128
10488,7358148323,1,2020-04-02 08:44:58+00:00,1878856,bicycle_parking,,,128,128
10481,7358126029,1,2020-04-02 08:44:59+00:00,1878856,bicycle_parking,,,128,128
10480,7358062269,1,2020-04-02 08:44:59+00:00,1878856,bicycle_parking,,,128,128
10479,7358134131,1,2020-04-02 08:44:59+00:00,1878856,bicycle_parking,,,128,128
6248,5267265153,3,2020-04-02 11:37:54+00:00,338535,doctors,Bellingham Green Surgery,,118,118
21381,506391484,4,2020-04-02 12:28:57+00:00,10968275,bicycle_parking,,,1,1
9862,7353477012,2,2020-04-02 15:07:51+00:00,873940,post_office,Clarendon Road Post Office,,4,4
14854,6947977921,2,2020-04-02 15:51:21+00:00,3951648,restaurant,CC Grill Restaurant,,735,735
14853,4560464778,6,2020-04-02 15:51:21+00:00,3951648,bar,Walays,,735,735
14852,4602945938,9,2020-04-02 15:51:21+00:00,3951648,fast_food,Star BBQ,,735,735
14851,4339936024,4,2020-04-02 15:51:21+00:00,3951648,fast_food,Subway,,735,735
14850,1519914084,7,2020-04-02 15:51:21+00:00,3951648,restaurant,Frankie & Benny's,,735,735
14849,4606523432,6,2020-04-02 15:51:21+00:00,3951648,pharmacy,Mayor Dispensing Chemist,,735,735
14848,4602946097,5,2020-04-02 15:51:21+00:00,3951648,cafe,Britanico,,735,735
14855,4560464779,9,2020-04-02 15:51:21+00:00,3951648,cafe,Blue River Cafe,,735,735
14856,5828020141,5,2020-04-02 15:51:21+00:00,3951648,cafe,Marks & Spencer - Cafe On The Bridge,,735,735
14847,268587849,2,2020-04-02 15:51:21+00:00,3951648,pharmacy,Medina Pharmacy,,735,735
14846,4602945958,9,2020-04-02 15:51:21+00:00,3951648,restaurant,Thai Pie,,735,735
14844,1662771232,8,2020-04-02 15:51:21+00:00,3951648,fast_food,La Pizzara And Kebabs,,735,735
14843,5346954567,6,2020-04-02 15:51:21+00:00,3951648,restaurant,Efes Turkish Restaurant,,735,735
14842,268545075,4,2020-04-02 15:51:21+00:00,3951648,pub,The Central,,735,735
14841,4554552836,5,2020-04-02 15:51:21+00:00,3951648,restaurant,Big Moe's Diner,,735,735
14840,5828192867,5,2020-04-02 15:51:21+00:00,3951648,cafe,Eat,,735,735
14839,1662771209,8,2020-04-02 15:51:21+00:00,3951648,cafe,The Pantry Cafe,,735,735
14838,282859047,2,2020-04-02 15:51:21+00:00,3951648,restaurant,So! Restaurant Bar,,735,735
14837,4554552835,7,2020-04-02 15:51:21+00:00,3951648,restaurant,Black & White Lounge,,735,735
14836,5346954568,8,2020-04-02 15:51:21+00:00,3951648,restaurant,Meydan Sofrasi,,735,735
14835,3280571390,8,2020-04-02 15:51:21+00:00,3951648,pub,The Bat and Ball,,735,735
14845,5173869821,8,2020-04-02 15:51:21+00:00,3951648,cafe,Starbucks,,735,735
21347,7359534864,1,2020-04-02 17:11:30+00:00,10964293,charging_station,,,518,113
21346,7359534865,1,2020-04-02 17:11:30+00:00,10964293,charging_station,,,518,113
21265,7359687539,1,2020-04-02 17:57:38+00:00,10957932,doctors,Anerley Surgery,,2,2
5642,7360520083,1,2020-04-03 02:02:01+00:00,322039,bicycle_parking,,,1660,1512
5643,4559478655,2,2020-04-03 02:02:01+00:00,322039,bicycle_parking,,,1660,1512
5641,4559478655,3,2020-04-03 02:02:15+00:00,322039,bicycle_parking,,,1660,1512
5640,7360520083,2,2020-04-03 02:02:15+00:00,322039,bicycle_parking,,,1660,1512
5639,1254719362,6,2020-04-03 03:12:37+00:00,322039,post_box,,,1660,1512
5638,7360836539,1,2020-04-03 03:44:15+00:00,322039,bicycle_parking,,,1660,1512
11759,3751142284,4,2020-04-03 04:31:04+00:00,2055614,motorcycle_parking,,,1684,1684
11749,6868119702,5,2020-04-03 04:31:04+00:00,2055614,bicycle_rental,Grenfell Road,,1684,1684
13734,520042682,5,2020-04-03 06:53:27+00:00,2969887,restaurant,l'Estaminet,,1463,1463
13735,672713708,3,2020-04-03 06:53:27+00:00,2969887,cafe,Fresh,,1463,1463
13733,6372425550,2,2020-04-03 06:53:27+00:00,2969887,cafe,Red Bean Roastery,,1463,1463
107,3129631382,2,2020-04-03 08:17:23+00:00,508,bicycle_parking,Waitrose & Partners,,4,4
108,7178906836,2,2020-04-03 08:17:23+00:00,508,cafe,Waitrose & Partners,,4,4
10342,1112173802,5,2020-04-03 16:07:57+00:00,1772126,cafe,Caffè Nero,,4,4
10343,1169113317,3,2020-04-03 16:15:09+00:00,1772126,photo_booth,Photo-Me,,4,4
11748,7051919098,2,2020-04-03 16:24:37+00:00,2055614,bench,,,1684,1684
11746,7051865589,3,2020-04-03 16:24:37+00:00,2055614,bench,,,1684,1684
11745,7051865590,3,2020-04-03 16:24:37+00:00,2055614,bench,,,1684,1684
10341,3340683307,3,2020-04-03 16:32:39+00:00,1772126,fast_food,TORTILLA Real California Burritos & Tacos,,4,4
10340,5188039133,2,2020-04-03 16:34:15+00:00,1772126,cafe,Starbucks,,4,4
13732,648261552,2,2020-04-03 20:54:18+00:00,2969887,kindergarten,The Clara Grant Nursery,,1463,1463
11744,7365714957,1,2020-04-04 03:52:20+00:00,2055614,cafe,Embassy Cafe,,1684,1684
11743,264904895,2,2020-04-04 03:52:20+00:00,2055614,car_sharing,,,1684,1684
13731,7365925076,1,2020-04-04 07:42:09+00:00,2969887,restaurant,Rockwell East,,1463,1463
21560,7366063272,1,2020-04-04 08:58:40+00:00,10979644,college,Department of Mathematics,,1,1
18113,7366127950,1,2020-04-04 09:32:02+00:00,9446570,restaurant,Hasu Sushi,,2,2
18114,1117582848,2,2020-04-04 09:32:02+00:00,9446570,bicycle_parking,,,2,2
11741,4437309895,3,2020-04-04 09:32:32+00:00,2055614,restaurant,Casa Cruz,,1684,1684
11742,4121422547,2,2020-04-04 09:32:32+00:00,2055614,vending_machine,,,1684,1684
14814,288044069,4,2020-04-04 12:56:11+00:00,3951648,pub,The Six Bells,,735,735
14815,302172072,2,2020-04-04 12:56:11+00:00,3951648,pharmacy,Dillons Pharmacy,,735,735
14816,288353972,4,2020-04-04 12:56:11+00:00,3951648,pub,The Sheepwalk Tavern,,735,735
14833,7366127950,2,2020-04-04 12:56:11+00:00,3951648,restaurant,Hasu Sushi,,735,735
14819,1117582799,2,2020-04-04 12:56:11+00:00,3951648,fast_food,Shams Fish Bar,,735,735
14818,288044072,2,2020-04-04 12:56:11+00:00,3951648,pub,The Belvedere,,735,735
14817,288044068,4,2020-04-04 12:56:11+00:00,3951648,pub,The King's Head,,735,735
10478,7367208432,1,2020-04-04 18:51:04+00:00,1878856,bicycle_parking,,,128,128
10477,7367260010,1,2020-04-04 18:56:18+00:00,1878856,restaurant,Oregano Pizza,,128,128
10476,7367260009,1,2020-04-04 18:56:18+00:00,1878856,cafe,The Strand Cafe,,128,128
10475,7367274098,1,2020-04-04 18:56:41+00:00,1878856,bicycle_parking,,,128,128
11739,3751142281,4,2020-04-05 05:35:50+00:00,2055614,motorcycle_parking,,,1684,1684
11738,1699845054,8,2020-04-05 05:35:50+00:00,2055614,bicycle_rental,Walmer Road,,1684,1684
11737,7368250099,1,2020-04-05 05:35:50+00:00,2055614,kindergarten,St Anne's & Avondale Park Nursery School,,1684,1684
11740,6868114743,5,2020-04-05 05:35:50+00:00,2055614,bicycle_rental,Sirdar Road,,1684,1684
19285,7368579729,1,2020-04-05 09:50:33+00:00,10142137,bench,,,5,5
19286,7368579726,1,2020-04-05 09:50:33+00:00,10142137,bench,,,5,5
19287,7368579727,1,2020-04-05 09:50:33+00:00,10142137,bench,,,5,5
19289,7368579723,1,2020-04-05 09:50:33+00:00,10142137,bench,,,5,5
19288,7368579725,1,2020-04-05 09:50:33+00:00,10142137,bench,,,5,5
11747,392506828,2,2020-04-05 10:17:51+00:00,2055614,telephone,,,1684,1684
2924,7368656957,1,2020-04-05 10:47:00+00:00,142807,bicycle_parking,,,12,12
2925,7368656956,1,2020-04-05 10:47:00+00:00,142807,bicycle_parking,,,12,12
632,1112173802,6,2020-04-05 11:22:45+00:00,12992,cafe,Caffè Nero,,12,12
631,1169113317,4,2020-04-05 11:22:45+00:00,12992,photo_booth,,,12,12
628,1144942025,6,2020-04-05 11:22:45+00:00,12992,cafe,Costa,,12,12
633,5188039133,3,2020-04-05 11:22:45+00:00,12992,cafe,Starbucks,,12,12
629,5248381681,3,2020-04-05 11:22:45+00:00,12992,cafe,Starbucks,,12,12
630,3340683307,4,2020-04-05 11:22:45+00:00,12992,fast_food,Tortilla,,12,12
21590,1258483211,3,2020-04-05 11:26:56+00:00,10984885,bank,Santander,,54,54
6247,7368795426,1,2020-04-05 11:50:57+00:00,338535,bench,,,118,118
6243,7368795430,1,2020-04-05 11:50:57+00:00,338535,bench,,,118,118
6246,7368795427,1,2020-04-05 11:50:57+00:00,338535,bench,,,118,118
6245,7368795428,1,2020-04-05 11:50:57+00:00,338535,bench,,,118,118
6244,7368795429,1,2020-04-05 11:50:57+00:00,338535,bench,,,118,118
21594,1258483211,4,2020-04-05 12:09:06+00:00,10984885,bank,Santander,,54,54
21593,7368856160,1,2020-04-05 12:09:06+00:00,10984885,food_court,Senior Common Room,,54,54
21592,7368856159,1,2020-04-05 12:09:06+00:00,10984885,food_court,Junior Common Room,,54,54
21591,1716046769,4,2020-04-05 12:09:06+00:00,10984885,cinema,Imperial Cinema,,54,54
10474,7368856985,1,2020-04-05 12:09:35+00:00,1878856,bicycle_parking,,,128,128
15362,6769160163,2,2020-04-05 13:57:04+00:00,4948143,fast_food,LEON,,413,334
15360,2389896693,4,2020-04-05 13:57:04+00:00,4948143,fast_food,itsu,,413,334
15358,1039290596,5,2020-04-05 13:57:04+00:00,4948143,pub,Lady Abercorn's Pub and Kitchen,,413,334
15361,1988924587,11,2020-04-05 13:57:04+00:00,4948143,fast_food,Pret A Manger,,413,334
15376,571287151,9,2020-04-05 13:57:04+00:00,4948143,fast_food,Pret A Manger,,413,334
15359,3636960395,3,2020-04-05 13:57:04+00:00,4948143,dentist,The Whiter Smile,,413,334
15377,603138296,12,2020-04-05 13:57:04+00:00,4948143,pharmacy,Boots,,413,334
15397,609782327,4,2020-04-05 13:57:04+00:00,4948143,bank,NatWest,,413,334
15400,692162590,4,2020-04-05 13:57:04+00:00,4948143,bar,Revolution,,413,334
15379,7140993716,2,2020-04-05 13:57:04+00:00,4948143,cafe,Costa,,413,334
15398,567016125,5,2020-04-05 13:57:04+00:00,4948143,fast_food,EAT.,,413,334
15363,3636960124,3,2020-04-05 13:57:04+00:00,4948143,bank,NatWest,,413,334
15396,4157411861,4,2020-04-05 13:57:04+00:00,4948143,ice_cream,Amorino,,413,334
15395,1494827513,4,2020-04-05 13:57:04+00:00,4948143,restaurant,Bill's,,413,334
15401,1542372285,6,2020-04-05 13:57:04+00:00,4948143,fast_food,Pret A Manger,,413,334
15394,3735864419,11,2020-04-05 13:57:04+00:00,4948143,pharmacy,Boots,,413,334
15392,663673330,4,2020-04-05 13:57:04+00:00,4948143,fast_food,EAT.,,413,334
15391,692296635,9,2020-04-05 13:57:04+00:00,4948143,restaurant,Byron,,413,334
15390,4874258918,3,2020-04-05 13:57:04+00:00,4948143,restaurant,Gourmet Kitchen,,413,334
15383,3986104047,2,2020-04-05 13:57:04+00:00,4948143,restaurant,PizzaExpress,,413,334
15382,2400922125,5,2020-04-05 13:57:04+00:00,4948143,restaurant,Frankie & Benny's,,413,334
15380,7177934791,2,2020-04-05 13:57:04+00:00,4948143,pharmacy,Boots,,413,334
15393,1787108617,2,2020-04-05 13:57:04+00:00,4948143,bank,Halifax,,413,334
15402,470247699,9,2020-04-05 13:57:04+00:00,4948143,restaurant,Carluccio's,,413,334
15399,3735864527,3,2020-04-05 13:57:04+00:00,4948143,dentist,Finest Dental,,413,334
15404,560751240,3,2020-04-05 13:57:04+00:00,4948143,fast_food,Cheese,,413,334
15364,3735864530,3,2020-04-05 13:57:04+00:00,4948143,dentist,Pure Periodontics,,413,334
15365,3735864532,3,2020-04-05 13:57:04+00:00,4948143,clinic,The Back Pain Centre,,413,334
15366,4193848430,2,2020-04-05 13:57:04+00:00,4948143,dentist,Boston House Dental Clinic,,413,334
15403,748073737,6,2020-04-05 13:57:04+00:00,4948143,fast_food,EAT.,,413,334
15367,4237992289,3,2020-04-05 13:57:04+00:00,4948143,ice_cream,Amorino,,413,334
15368,600924677,6,2020-04-05 13:57:04+00:00,4948143,bank,Barclays,,413,334
15369,1787108618,7,2020-04-05 13:57:04+00:00,4948143,cafe,Starbucks,,413,334
15378,2632761641,6,2020-04-05 13:57:04+00:00,4948143,fast_food,Pret A Manger,,413,334
15371,748076792,5,2020-04-05 13:57:04+00:00,4948143,restaurant,Côte Brasserie,,413,334
15372,748091223,11,2020-04-05 13:57:04+00:00,4948143,fast_food,Greggs,,413,334
15373,3197327378,5,2020-04-05 13:57:04+00:00,4948143,fast_food,Pret A Manger,,413,334
15374,1977682861,5,2020-04-05 13:57:04+00:00,4948143,cafe,Taylor St Baristas,,413,334
15405,3887905009,3,2020-04-05 13:57:04+00:00,4948143,fast_food,EAT.,,413,334
15406,1171141416,4,2020-04-05 13:57:04+00:00,4948143,fast_food,EAT.,,413,334
15375,475396921,7,2020-04-05 13:57:04+00:00,4948143,pub,Lord Aberconway,,413,334
15370,4223463913,3,2020-04-05 13:57:04+00:00,4948143,fast_food,Pret A Manger,,413,334
4073,7369249064,1,2020-04-05 15:05:50+00:00,269736,bench,,,432,432
4075,7369249060,1,2020-04-05 15:05:50+00:00,269736,waste_basket,,,432,432
4076,7369249059,1,2020-04-05 15:05:50+00:00,269736,waste_basket,,,432,432
4077,7369249058,1,2020-04-05 15:05:50+00:00,269736,bench,,,432,432
4078,7369249066,1,2020-04-05 15:05:50+00:00,269736,waste_basket,,,432,432
4079,7369249063,1,2020-04-05 15:05:50+00:00,269736,waste_basket,,,432,432
4074,7369249061,1,2020-04-05 15:05:50+00:00,269736,bench,,,432,432
11760,3751142279,3,2020-04-05 15:14:28+00:00,2055614,motorcycle_parking,,,1684,1684
4072,7369330118,1,2020-04-05 15:29:45+00:00,269736,waste_basket,,,432,432
4060,7369365331,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4058,7369365334,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4059,7369365329,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4062,7369365328,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4065,7369365343,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4064,7369365347,1,2020-04-05 15:39:14+00:00,269736,waste_basket,,,432,432
4102,7369365338,1,2020-04-05 15:39:14+00:00,269736,waste_basket,,,432,432
4103,7369365336,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4104,7369365345,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4105,7369365337,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4106,7369365341,1,2020-04-05 15:39:14+00:00,269736,bicycle_parking,,,432,432
4107,7369365339,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4063,7369365335,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4110,7369365330,1,2020-04-05 15:39:14+00:00,269736,waste_basket,,,432,432
4108,7369365332,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4083,7369365344,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4081,7369365349,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4071,7369365350,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4070,7369365355,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4069,7369365354,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4068,7369365353,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4067,7369365352,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4066,7369365348,1,2020-04-05 15:39:14+00:00,269736,waste_basket,,,432,432
4084,7369365340,1,2020-04-05 15:39:14+00:00,269736,bench,,,432,432
4101,7369342758,1,2020-04-05 15:43:38+00:00,269736,bench,,,432,432
4100,7369342759,1,2020-04-05 15:43:38+00:00,269736,waste_basket,,,432,432
4099,7369381197,1,2020-04-05 15:49:30+00:00,269736,bench,,,432,432
4098,7369381195,1,2020-04-05 15:49:30+00:00,269736,bench,,,432,432
4097,7369381196,1,2020-04-05 15:49:30+00:00,269736,bicycle_parking,,,432,432
4095,7369355957,1,2020-04-05 15:54:23+00:00,269736,bicycle_parking,,,432,432
4096,7369355958,1,2020-04-05 15:54:23+00:00,269736,bicycle_parking,,,432,432
4094,7369406622,1,2020-04-05 16:00:11+00:00,269736,bench,,,432,432
4091,7369406619,1,2020-04-05 16:00:11+00:00,269736,bench,,,432,432
4092,7369406617,1,2020-04-05 16:00:11+00:00,269736,bench,,,432,432
4093,7369406621,1,2020-04-05 16:00:11+00:00,269736,bench,,,432,432
4090,7369389915,1,2020-04-05 16:03:44+00:00,269736,bicycle_parking,,,432,432
21602,511523785,6,2020-04-05 16:47:37+00:00,10984885,taxi,,,54,54
21595,2779109323,4,2020-04-05 16:47:37+00:00,10984885,toilets,,,54,54
17064,1320961235,2,2020-04-05 20:06:25+00:00,7096975,parking,Belmont Hall Parking,,1002,1002
17065,1320961235,3,2020-04-05 20:06:28+00:00,7096975,parking,Belmont Hall Parking,,1002,1002
17066,7320509179,2,2020-04-05 20:16:55+00:00,7096975,post_box,,,1002,1002
17067,7320509179,3,2020-04-05 20:17:08+00:00,7096975,post_box,,,1002,1002
17068,1946796272,3,2020-04-05 20:25:34+00:00,7096975,bicycle_parking,,,1002,1002
17069,1946796272,2,2020-04-05 20:25:34+00:00,7096975,bicycle_parking,,,1002,1002
4089,7370227693,1,2020-04-05 21:36:15+00:00,269736,childcare,Little St Matthias Pre School,,432,432
4088,7370227689,1,2020-04-05 21:36:15+00:00,269736,waste_basket,,,432,432
17073,1946796271,2,2020-04-05 21:47:46+00:00,7096975,bicycle_parking,,,1002,1002
17070,1320961229,2,2020-04-05 21:47:46+00:00,7096975,fast_food,Domino's,,1002,1002
17071,7320509179,4,2020-04-05 21:47:46+00:00,7096975,post_box,,,1002,1002
17075,1320961201,3,2020-04-05 21:47:46+00:00,7096975,pub,Angie's V,,1002,1002
17074,7370243196,1,2020-04-05 21:47:46+00:00,7096975,doctors,Belmont Health Centre,,1002,1002
17072,7370243193,1,2020-04-05 21:47:46+00:00,7096975,post_box,,,1002,1002
4087,7370231466,1,2020-04-05 22:15:15+00:00,269736,bicycle_parking,,,432,432
21569,6586349287,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21571,6738357485,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21572,6738357193,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21601,7370249751,1,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21589,7370249766,1,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21588,6738357192,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21599,7370249763,1,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21598,6279965563,3,2020-04-05 22:37:27+00:00,10984885,bicycle_parking,Beit Quadrangle,,54,54
21597,6586333283,4,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21596,6586333284,4,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21568,6738357286,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21600,245811393,5,2020-04-05 22:37:27+00:00,10984885,bicycle_parking,Blackett bicycle store,,54,54
21567,6738357385,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21607,6738357190,3,2020-04-05 22:37:27+00:00,10984885,bench,,,54,54
21585,1258483054,7,2020-04-05 22:37:27+00:00,10984885,bicycle_parking,Faculty Building bicycle store,,54,54
21615,6561682294,5,2020-04-05 22:37:27+00:00,10984885,bicycle_parking,,,54,54
